	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS	AREA	PERIMETER	WCOLGEN02_	WCOLGEN021	DPTO	NOMBRE_DPT	NOMBRE_MPI	NOMBRE_CAB	CLASEMUN	ZONA	OF_REG	REG_ZONAS	HECTARES	CENTROID_LNG	CENTROID_LAT
48	CO35	Bolívar	13	13	107	Santa Rosa	100.0	683	13683	128909063.111	45346.3164562	52	523	13	BOLIVAR	SANTA ROSA	SANTA ROSA	CM	ZONA03	DABAR	DABARZONA03	12890.906	860696.8233904395	1646080.020699522
49	CO35	Bolívar	13	13	108	Villanueva	100.0	873	13873	157398005.948	52688.6769728	53	533	13	BOLIVAR	VILLANUEVA	VILLANUEVA	CM	ZONA03	DABAR	DABARZONA03	15739.801	870716.8113672694	1643560.060167215
50	CO38	Magdalena	47	47	329	El Piñón	85.0	258	47258	497456352.008	106452.560168	54	492	47	MAGDALENA	EL PI¥ON	EL PI¥ON	CM	ZONA07	DABAR	DABARZONA07	49745.635	934041.6227561131	1634859.9849727424
51	CO04	Atlántico	08	08	075	Campo de la Cruz	100.0	137	08137	96334345.3525	47619.8605642	55	466	08	ATLANTICO	CAMPO DE LA CRUZ	CAMPO DE LA CRUZ	CM	ZONA01	DABAR	DABARZONA01	9633.435	910260.7238211078	1639452.1563046381
52	CO10	Cesar	20	20	210	La Paz	100.0	621	20621	1385725624.34	281354.442201	56	554	20	CESAR	LA PAZ	ROBLES	CM	ZONA05	DABAR	DABARZONA05	138572.562	1091186.1728707512	1611141.0600339454
53	CO35	Bolívar	13	13	108	San Estanislao	100.0	647	13647	191989520.146	58911.2543942	57	1038	13	BOLIVAR	SAN ESTANISLAO	SAN ESTANISLAO	CM	ZONA03	DABAR	DABARZONA03	19198.952	876837.3186155295	1635115.3224065665
54	CO10	Cesar	20	20	210	Manaure	100.0	443	20443	234842907.171	86603.329134	58	550	20	CESAR	MANAURE	BALCON DEL CESAR	CM	ZONA05	DABAR	DABARZONA05	23484.291	1120348.420688022	1638569.2533193636
55	CO35	Bolívar	13	13	109	Soplaviento	100.0	760	13760	75583111.4197	49943.2920526	59	988	13	BOLIVAR	SOPLAVIENTO	SOPLAVIENTO	CM	ZONA03	DABAR	DABARZONA03	7558.311	886255.4570806891	1631870.5744281632
56	CO35	Bolívar	13	13	109	San Cristóbal	95.0	620	13620	45376716.5206	27847.1298838	60	1058	13	BOLIVAR	SAN CRISTOBAL	SAN CRISTOBAL	CM	ZONA03	DABAR	DABARZONA03	4537.672	889103.4108654427	1637033.0040044854
57	CO35	Bolívar	13	13	106	Turbaco	100.0	836	13836	182862308.439	58008.137243	61	531	13	BOLIVAR	TURBACO	TURBACO	CM	ZONA03	DABAR	DABARZONA03	18286.231	858148.7029947023	1633550.5456781748
58	CO10	Cesar	20	20	208	El Copey	100.0	238	20238	996459010.066	140280.54271	62	544	20	CESAR	EL COPEY	EL COPEY	CM	ZONA05	DABAR	DABARZONA05	99645.901	1016175.409565052	1617827.2078596442
59	CO04	Atlántico	08	08	086	Santa Lucía	94.0	675	08675	67861869.0634	35010.2331844	63	479	08	ATLANTICO	SANTA LUCIA	SANTA LUCIA	CM	ZONA01	DABAR	DABARZONA01	6786.187	901794.8394293494	1634913.2353366434
60	CO38	Magdalena	47	47	330	Cerro San Antonio	100.0	161	47161	192282713.793	90897.2796013	64	488	47	MAGDALENA	CERRO SAN ANTONIO	CERRO SAN ANTONIO	CM	ZONA07	DABAR	DABARZONA07	19228.271	918326.892206474	1629897.2406637622
61	CO35	Bolívar	13	13	092	Calamar	100.0	140	13140	240111328.891	115326.702648	65	509	13	BOLIVAR	CALAMAR	CALAMAR	CM	ZONA07	DABAR	DABARZONA07	24011.133	899020.9217187088	1621601.7472450014
62	CO10	Cesar	20	20	210	San Diego	100.0	750	20750	303441252.656	98038.3831263	66	556	20	CESAR	SAN DIEGO	SAN DIEGO	CM	ZONA05	DABAR	DABARZONA05	30344.125	1090602.3372728233	1623619.9642816277
63	CO04	Atlántico	08	08	086	Suán	85.0	770	08770	35103204.3218	27453.9000971	67	484	08	ATLANTICO	SUAN	SUAN	CM	ZONA01	DABAR	DABARZONA01	3510.32	908082.9135383992	1630363.7364172705
64	CO35	Bolívar	13	13	091	Arjona	100.0	052	13052	543075971.611	115385.37558	68	507	13	BOLIVAR	ARJONA	ARJONA	CM	ZONA03	DABAR	DABARZONA03	54307.597	858824.3298864912	1612546.2786827246
65	CO35	Bolívar	13	13	109	Mahates	100.0	433	13433	397874536.744	96595.6766769	69	514	13	BOLIVAR	MAHATES	MAHATES	CM	ZONA03	DABAR	DABARZONA03	39787.454	878936.6904622489	1614890.1924225502
66	CO35	Bolívar	13	13	106	Turbana	100.0	838	13838	183377229.644	58180.5804287	70	532	13	BOLIVAR	TURBANA	TURBANA	CM	ZONA03	DABAR	DABARZONA03	18337.723	851214.1501489398	1620480.4170289722
67	CO38	Magdalena	47	47	330	Pedraza	100.0	541	47541	312001497.074	92626.4392799	71	495	47	MAGDALENA	PEDRAZA	PEDRAZA	CM	ZONA07	DABAR	DABARZONA07	31200.15	917334.3440354364	1614522.4908570473
68	CO38	Magdalena	47	47	331	Chivolo	100.0	170	47170	477707578.196	105733.29706	72	489	47	MAGDALENA	CHIVOLO	CHIVOLO	CM	ZONA07	DABAR	DABARZONA07	47770.758	948651.7379999474	1607068.0702394454
69	CO10	Cesar	20	20	203	Agustín Codazzi	96.0	013	20013	1497444964.69	220949.435862	73	537	20	CESAR	AGUSTIN CODAZZI	AGUSTIN CODAZZI	CM	ZONA05	DABAR	DABARZONA05	149744.496	1089001.7306190666	1589785.8138314828
70	CO35	Bolívar	13	13	092	El Guamo	100.0	248	13248	402837283.962	86185.0087291	74	512	13	BOLIVAR	EL GUAMO	EL GUAMO	CM	ZONA03	DABAR	DABARZONA03	40283.728	907161.4066828868	1600409.6626360386
71	CO27	Sucre	70	70	449	San Onofre	100.0	713	70713	1028653791.83	178277.297737	75	458	70	SUCRE	SAN ONOFRE	SAN ONOFRE	CM	ZONA03	DABAR	DABARZONA03	102865.379	843808.6810826942	1576103.394336884
