MIGCO4_CODE	MIGCO4_NAME	MIGCO4_DEPT
282	Medio Atrato	CHOCÓ
282	Río Quito	CHOCÓ
283	Bajo Baudó	CHOCÓ
283	Medio Baudó	CHOCÓ
285	Itsmina	CHOCÓ
285	El Cantón del San Pablo	CHOCÓ
285	Medio San Juan	CHOCÓ
285	Unión Panamericana	CHOCÓ
286	Riosucio	CHOCÓ
286	Carmen del Darien	CHOCÓ
286	Belén de Bajirá	CHOCÓ
287	Tadó	CHOCÓ
287	Cértegui	CHOCÓ
287	Río Iro	CHOCÓ
288	Nuquí	CHOCÓ
288	Alto Baudó	CHOCÓ
289	Bagadó	CHOCÓ
289	El Carmen de Atrato	CHOCÓ
289	Lloró	CHOCÓ
290	Condoto	CHOCÓ
290	Novita	CHOCÓ
291	El Litoral del San Juan	CHOCÓ
291	San José del Palmar	CHOCÓ
291	Sipí	CHOCÓ
292	Acandí	CHOCÓ
292	Unguía	CHOCÓ
293	Bahía Solano	CHOCÓ
293	Bojayá	CHOCÓ
293	Juradó	CHOCÓ
294	Neiva	HUILA
295	Campoalegre	HUILA
296	Garzón	HUILA
297	La Plata	HUILA
298	Pitalito	HUILA
299	San Agustín	HUILA
300	Baraya	HUILA
300	Colombia	HUILA
300	Villavieja	HUILA
301	Aipe	HUILA
301	Tello	HUILA
302	Palermo	HUILA
302	Santa María	HUILA
303	Algeciras	HUILA
303	Rivera	HUILA
304	Hobo	HUILA
304	Iquira	HUILA
304	Yaguará	HUILA
304	Teruel	HUILA
305	Gigante	HUILA
305	Nataga	HUILA
305	Tesalia	HUILA
306	Agrado	HUILA
306	Altamira	HUILA
306	Pital	HUILA
306	Paicol	HUILA
307	La Argentina	HUILA
307	Tarqui	HUILA
308	Suaza	HUILA
308	Timaná	HUILA
308	Guadalupe	HUILA
309	Elías	HUILA
309	Isnos	HUILA
309	Oporapa	HUILA
309	Saladoblanco	HUILA
310	Acevedo	HUILA
310	Palestina	HUILA
311	Riohacha	LA GUAJIRA
311	Dibulla	LA GUAJIRA
312	Barrancas	LA GUAJIRA
312	Hatonuevo	LA GUAJIRA
313	Fonseca	LA GUAJIRA
313	Distracción	LA GUAJIRA
314	Maicao	LA GUAJIRA
314	Albania	LA GUAJIRA
315	Manaure	LA GUAJIRA
316	San Juan del Cesar	LA GUAJIRA
317	Uribia	LA GUAJIRA
318	El Molino	LA GUAJIRA
318	Urumita	LA GUAJIRA
318	La Jagua del Pilar	LA GUAJIRA
318	Villanueva	LA GUAJIRA
319	Santa Marta	MAGDALENA
320	Aracataca	MAGDALENA
320	El Retén	MAGDALENA
321	Ariguaní	MAGDALENA
322	Ciénaga	MAGDALENA
322	Zona Bananera	MAGDALENA
323	El Banco	MAGDALENA
324	Fundación	MAGDALENA
324	Algarrobo	MAGDALENA
325	Pivijay	MAGDALENA
326	Plato	MAGDALENA
326	Nueva Granada	MAGDALENA
326	Sabanas de San Angel	MAGDALENA
326	Santa Bárbara de Pinto	MAGDALENA
327	San Zenón	MAGDALENA
327	Santa Ana	MAGDALENA
327	Pijiño del Carmen	MAGDALENA
328	Puebloviejo	MAGDALENA
328	Sitionuevo	MAGDALENA
329	El Piñón	MAGDALENA
329	Zapayán	MAGDALENA
329	Remolino	MAGDALENA
329	Salamina	MAGDALENA
330	Cerro San Antonio	MAGDALENA
330	Pedraza	MAGDALENA
330	Concordia	MAGDALENA
331	Chivolo	MAGDALENA
331	Tenerife	MAGDALENA
332	Guamal	MAGDALENA
332	San Sebastián de Buenavista	MAGDALENA
333	Villavicencio	META
334	Acacias	META
335	Granada	META
336	Puerto López	META
337	Mesetas	META
337	La Macarena	META
337	La Uribe	META
338	Puerto Rico	META
338	Vista Hermosa	META
339	Mapiripán	META
339	Puerto Concordia	META
339	Puerto Lleras	META
340	Puerto Gaitán	META
340	San Martín	META
341	Barranca de Upia	META
341	Cabuyaro	META
341	Cumaral	META
341	El Calvario	META
341	Restrepo	META
341	San Juanito	META
342	Fuente de Oro	META
342	Lejanías	META
342	San Juan de Arama	META
343	Castilla la Nueva	META
343	San Luis de Cubarral	META
343	El Castillo	META
343	El Dorado	META
343	Guamal	META
343	San Carlos de Guaroa	META
344	Pasto	NARINO
344	Nariño	NARINO
345	Barbacoas	NARINO
346	Cumbal	NARINO
347	El Tambo	NARINO
347	El Peñol	NARINO
348	Guaitarilla	NARINO
349	Ipiales	NARINO
350	La Unión	NARINO
351	La Tola	NARINO
351	Olaya Herrera	NARINO
352	Samaniego	NARINO
353	Sandoná	NARINO
354	Tumaco	NARINO
355	Túquerres	NARINO
356	Mosquera	NARINO
356	Maguí	NARINO
356	Francisco Pizarro	NARINO
356	Roberto Payán	NARINO
357	El Charco	NARINO
357	Santa Bárbara	NARINO
358	El Rosario	NARINO
358	Leiva	NARINO
359	Cumbitara	NARINO
359	Policarpa	NARINO
359	Los Andes	NARINO
360	La Llanada	NARINO
360	Linares	NARINO
361	Mallama	NARINO
361	Ricaurte	NARINO
362	Sapuyés	NARINO
362	Providencia	NARINO
362	Santacruz	NARINO
363	Aldana	NARINO
363	Guachucal	NARINO
363	Cuaspud	NARINO
364	Contadero	NARINO
364	Pupiales	NARINO
364	Gualmatán	NARINO
365	Iles	NARINO
365	Ospina	NARINO
365	Imués	NARINO
366	Tangua	NARINO
366	Yacuanquer	NARINO
367	Ancuyá	NARINO
367	La Florida	NARINO
367	Consaca	NARINO
368	Funes	NARINO
368	Puerres	NARINO
369	Potosí	NARINO
369	Córdoba	NARINO
370	Arboleda	NARINO
370	Buesaco	NARINO
371	San Lorenzo	NARINO
371	San Pedro de Cartago	NARINO
372	Chachagüí	NARINO
372	Taminango	NARINO
373	Belén	NARINO
373	Colón	NARINO
373	San Bernardo	NARINO
374	La Cruz	NARINO
374	San Pablo	NARINO
375	Albán	NARINO
375	El Tablón	NARINO
376	Cúcuta	NORTE SANTANDER
376	Puerto Santander	NORTE SANTANDER
377	Abrego	NORTE SANTANDER
377	La Esperanza	NORTE SANTANDER
378	Los Patios	NORTE SANTANDER
379	Ocaña	NORTE SANTANDER
380	Pamplona	NORTE SANTANDER
381	Sardinata	NORTE SANTANDER
382	Tibú	NORTE SANTANDER
383	Villa del Rosario	NORTE SANTANDER
384	El Tarra	NORTE SANTANDER
384	Teorama	NORTE SANTANDER
385	Convención	NORTE SANTANDER
385	El Carmen	NORTE SANTANDER
386	Hacarí	NORTE SANTANDER
386	San Calixto	NORTE SANTANDER
386	La Playa	NORTE SANTANDER
387	Cáchira	NORTE SANTANDER
388	Bucarasica	NORTE SANTANDER
388	Gramalote	NORTE SANTANDER
388	Lourdes	NORTE SANTANDER
388	Villa Caro	NORTE SANTANDER
389	Arboledas	NORTE SANTANDER
389	Salazar	NORTE SANTANDER
390	El Zulia	NORTE SANTANDER
390	San Cayetano	NORTE SANTANDER
390	Santiago	NORTE SANTANDER
