	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
205	CO21	Norte Santander	54	54	388	Gramalote	100.0	313	54313
206	CO02	Antioquia	05	05	045	Cáceres	91.0	120	05120
207	CO12	Córdoba	23	23	222	Puerto Libertador	100.0	580	23580
208	CO21	Norte Santander	54	54	390	Santiago	100.0	680	54680
209	CO21	Norte Santander	54	54	390	San Cayetano	100.0	673	54673
210	CO11	Chocó	27	27	286	Riosucio	100.0	615	27615
211	CO02	Antioquia	05	05	011	Carepa	100.0	147	05147
212	CO21	Norte Santander	54	54	389	Salazar	100.0	660	54660
213	CO21	Norte Santander	54	54	383	Villa del Rosario	100.0	874	54874
214	CO21	Norte Santander	54	54	387	Cáchira	91.0	128	54128
215	CO21	Norte Santander	54	54	391	Durania	100.0	239	54239
216	CO21	Norte Santander	54	54	378	Los Patios	100.0	405	54405
217	CO21	Norte Santander	54	54	377	La Esperanza	100.0	385	54385
218	CO02	Antioquia	05	05	014	Chigorodo	100.0	172	05172
219	CO02	Antioquia	05	05	046	Tarazá	90.0	790	05790
220	CO21	Norte Santander	54	54	391	Bochalema	100.0	099	54099
221	CO26	Santander	68	68	418	Rionegro	100.0	615	68615
222	CO21	Norte Santander	54	54	389	Arboledas	100.0	051	54051
223	CO02	Antioquia	05	05	044	Zaragoza	100.0	895	05895
224	CO26	Santander	68	68	424	Sabana de Torres	100.0	655	68655
225	CO21	Norte Santander	54	54	392	Chinácota	93.0	172	54172
226	CO21	Norte Santander	54	54	392	Ragonvalia	100.0	599	54599
227	CO26	Santander	68	68	423	Suratá	90.0	780	68780
228	CO21	Norte Santander	54	54	391	Cucutilla	100.0	223	54223
229	CO26	Santander	68	68	423	El Playón	93.0	255	68255
230	CO21	Norte Santander	54	54	391	Pamplonita	100.0	520	54520
231	CO21	Norte Santander	54	54	392	Herrán	90.0	347	54347
232	CO35	Bolívar	13	13	103	San Pablo	100.0	670	13670
233	CO26	Santander	68	68	425	California	100.0	132	68132
234	CO11	Chocó	27	27	293	Juradó	90.0	372	27372
235	CO02	Antioquia	05	05	039	Segovia	100.0	736	05736
236	CO26	Santander	68	68	425	Vetas	100.0	867	68867
237	CO21	Norte Santander	54	54	393	Toledo	100.0	820	54820
238	CO26	Santander	68	68	423	Matanza	100.0	444	68444
239	CO35	Bolívar	13	13	103	Cantagallo	100.0	160	13160
240	CO21	Norte Santander	54	54	380	Pamplona	100.0	518	54518
241	CO02	Antioquia	05	05	045	Anorí	88.0	040	05040
242	CO02	Antioquia	05	05	046	Valdivia	100.0	854	05854
243	CO02	Antioquia	05	05	025	Ituango	100.0	361	05361
244	CO26	Santander	68	68	424	Lebrija	100.0	406	68406
245	CO21	Norte Santander	54	54	393	Labateca	100.0	377	54377
246	CO21	Norte Santander	54	54	394	Mutiscua	100.0	480	54480
247	CO26	Santander	68	68	425	Charta	100.0	169	68169
248	CO21	Norte Santander	54	54	394	Cácota	90.0	125	54125
249	CO21	Norte Santander	54	54	394	Silos	100.0	743	54743
250	CO02	Antioquia	05	05	055	Amalfi	100.0	031	05031
251	CO02	Antioquia	05	05	055	Yondó	88.0	893	05893
252	CO26	Santander	68	68	415	Girón	88.0	307	68307
253	CO02	Antioquia	05	05	055	Remedios	100.0	604	05604
254	CO26	Santander	68	68	425	Tona	100.0	820	68820
255	CO02	Antioquia	05	05	043	Yarumal	100.0	887	05887
256	CO21	Norte Santander	54	54	394	Chitagá	91.0	174	54174
257	CO26	Santander	68	68	411	Bucaramanga	100.0	001	68001
258	CO26	Santander	68	68	412	Barrancabermeja	100.0	081	68081
259	CO02	Antioquia	05	05	048	Briceño	100.0	107	05107
260	CO02	Antioquia	05	05	049	Peque	100.0	543	05543
261	CO02	Antioquia	05	05	017	Dabeiba	100.0	234	05234
262	CO02	Antioquia	05	05	047	Campamento	100.0	134	05134
263	CO26	Santander	68	68	420	San Vicente de Chucurí	97.0	689	68689
264	CO26	Santander	68	68	414	Floridablanca	100.0	276	68276
265	CO26	Santander	68	68	426	Betulia	100.0	092	68092
266	CO26	Santander	68	68	416	Piedecuesta	100.0	547	68547
267	CO02	Antioquia	05	05	048	Toledo	100.0	819	05819
268	CO03	Arauca	81	81	512	Arauca	100.0	001	81001
269	CO26	Santander	68	68	425	Santa Bárbara	95.0	705	68705
270	CO02	Antioquia	05	05	049	Sabanalarga	100.0	628	05628
271	CO03	Arauca	81	81	514	Saravena	100.0	736	81736
272	CO03	Arauca	81	81	513	Arauquita	100.0	065	81065
273	CO26	Santander	68	68	425	Guaca	100.0	318	68318
274	CO02	Antioquia	05	05	050	Uramita	100.0	842	05842
275	CO36	Boyacá	15	15	119	Cubará	90.0	223	15223
276	CO02	Antioquia	05	05	021	Murindo	100.0	475	05475
277	CO02	Antioquia	05	05	048	San Andres	100.0	647	05647
278	CO02	Antioquia	05	05	050	Cañasgordas	100.0	138	05138
279	CO26	Santander	68	68	425	Cerrito	100.0	162	68162
280	CO26	Santander	68	68	426	Zapatoca	100.0	895	68895
281	CO02	Antioquia	05	05	049	Buriticá	92.0	113	05113
282	CO02	Antioquia	05	05	056	Vegachí	91.0	858	05858
283	CO02	Antioquia	05	05	047	Angostura	100.0	038	05038
284	CO02	Antioquia	05	05	057	Guadalupe	100.0	315	05315
285	CO26	Santander	68	68	433	Simacota	100.0	745	68745
286	CO26	Santander	68	68	440	San Andres	100.0	669	68669
287	CO02	Antioquia	05	05	021	Frontino	100.0	284	05284
288	CO02	Antioquia	05	05	052	San José de la Montaña	94.0	658	05658
289	CO02	Antioquia	05	05	057	Gomez Plata	100.0	310	05310
290	CO26	Santander	68	68	427	Concepción	94.0	207	68207
291	CO26	Santander	68	68	426	Los Santos	100.0	418	68418
292	CO11	Chocó	27	27	293	Bojayá	90.0	099	27099
293	CO26	Santander	68	68	433	El Carmen de Chucuri	100.0	235	68235
294	CO02	Antioquia	05	05	037	Santa Rosa de Osos	100.0	686	05686
295	CO26	Santander	68	68	433	Puerto Parra	100.0	573	68573
296	CO03	Arauca	81	81	513	Fortul	100.0	300	81300
297	CO02	Antioquia	05	05	021	Vigia del Fuerte	100.0	873	05873
298	CO36	Boyacá	15	15	119	Chiscas	100.0	180	15180
299	CO02	Antioquia	05	05	057	Carolina	100.0	150	05150
300	CO02	Antioquia	05	05	056	Yolombó	91.0	890	05890
301	CO26	Santander	68	68	429	Aratoca	100.0	051	68051
302	CO11	Chocó	27	27	293	Bahía Solano	95.0	075	27075
303	CO26	Santander	68	68	429	Cepitá	90.0	160	68160
304	CO02	Antioquia	05	05	052	Liborina	100.0	411	05411
305	CO02	Antioquia	05	05	052	Belmira	100.0	086	05086
306	CO02	Antioquia	05	05	056	Yali	100.0	885	05885
307	CO26	Santander	68	68	431	Galán	88.0	296	68296
308	CO26	Santander	68	68	440	Málaga	90.0	432	68432
309	CO26	Santander	68	68	413	Cimitarra	100.0	190	68190
310	CO26	Santander	68	68	429	Villanueva	100.0	872	68872
311	CO02	Antioquia	05	05	050	Abriaquí	92.0	004	05004
312	CO26	Santander	68	68	427	Carcasi	100.0	152	68152
313	CO02	Antioquia	05	05	030	Puerto Berrio	100.0	579	05579
314	CO26	Santander	68	68	429	Jordán	90.0	370	68370
315	CO36	Boyacá	15	15	119	Guicán	90.0	332	15332
316	CO02	Antioquia	05	05	051	Giraldo	100.0	306	05306
317	CO26	Santander	68	68	431	Barichara	100.0	079	68079
318	CO26	Santander	68	68	428	Enciso	100.0	266	68266
319	CO26	Santander	68	68	428	Molagavita	100.0	468	68468
